metric,value,unit_or_status
queue_slots_selected,3128,slots
cards_represented,2831,cards
evidence_collected,2146,excerpts
terminal_seed_fetch_failed_slots,982,slots
reported_fetch_failures,1469,fetch_failures
network_requests_used,441,requests
quality_pass,835,evidence_rows
quality_pass_with_warnings,848,evidence_rows
quality_needs_review,463,evidence_rows
cards_passing_evidence_gate,1555,cards
card_gate_pass_percent,54.9,percent
duplicate_evidence_hashes,161,hashes
duplicate_final_urls,145,urls
hard_no_scope_term_match,463,evidence_rows
warning_weak_scope_term_match,840,evidence_rows
warning_navigation_boilerplate_heavy,11,evidence_rows
warning_encoding_artifact_suspected,6,evidence_rows
card_generation_authorized,NO,decision
