metric,value,unit_or_status
locked_cases,54,cases
system_executions,162,executions
successful_executions,162/162,executions
A_mean_latency,3757,ms
A_mean_energy,0.2450,Wh
B_mean_latency,1675,ms
B_mean_energy,0.1085,Wh
C_mean_latency,9066,ms
C_mean_energy,0.5759,Wh
C_total_llm_passes,65,passes
C_rag_searched,54/54,cases
C_rag_used,28/54,cases
C_planner_used,8/54,cases
C_reviewer_used,3/54,cases
C_inference_avoided,0/54,cases
C_vs_B_latency_multiple,5.413,x
C_vs_B_energy_multiple,5.308,x
B_vs_A_latency_reduction,55.4,percent
B_vs_A_energy_reduction,55.7,percent
A_quality_later_blinded_judge,20.71,composite
B_quality_later_blinded_judge,54.22,composite
C_quality_later_blinded_judge,27.71,composite
production_chroma_changed,NO,boundary
brain_modified,NO,boundary
database_writes,NO,boundary
